# v1.1.3
# ./Infomap graphINT.txt . --clu --ftree --tree
# started at 2020-05-15 22:20:24
# completed in 1.06031 s
# partitioned into 3 levels with 209 top modules
# codelength 6.2394 bits
# relative codelength savings 26.7533%
# module level: 1
# node_id module flow
596 3 8.8931e-05
375 3 7.41092e-05
723 3 7.41092e-05
160 3 7.41092e-05
900 3 7.41092e-05
1098 3 5.92874e-05
393 3 5.92874e-05
911 3 4.44655e-05
36 4 0.0153258
311 4 0.0098417
181 4 0.00976759
268 4 0.00810755
72 4 0.00195648
267 4 0.00134879
504 4 0.00105235
117 4 0.000652161
731 4 0.000622517
3 5 0.0140659
5 5 0.00969348
161 5 0.00801862
50 5 0.00492085
203 5 0.00203059
368 5 0.000741092
68 5 0.000578052
505 5 0.000474299
4 5 0.00040019
822 5 0.000340902
143 6 0.0135175
401 6 0.0063141
85 6 0.00527658
11 6 0.00496532
135 6 0.00329045
400 6 0.00100789
179 6 0.000933776
405 6 0.000800379
309 6 0.000533586
688 6 0.000459477
193 6 0.000444655
612 6 0.00040019
146 7 0.00767771
517 7 0.00392779
262 7 0.00306812
576 7 0.00167487
312 7 0.00152665
357 7 0.000296437
217 7 0.00171933
103 7 0.0014229
17 7 0.00124503
30 7 0.00124503
370 7 0.000622517
651 7 0.00056323
477 7 0.000548408
834 7 0.000429833
565 7 0.000415012
298 7 0.00040019
1114 7 0.000385368
29 7 0.000370546
564 7 0.000326081
263 7 0.000326081
277 7 0.000311259
16 7 0.000296437
697 7 0.000296437
216 7 0.000281615
852 7 0.000281615
489 7 0.000251971
844 7 0.000251971
102 7 0.000237149
1137 7 0.000237149
147 7 0.000222328
264 7 0.000177862
577 7 0.000177862
883 7 0.000177862
1057 7 0.000177862
191 7 0.00016304
367 7 0.000148218
715 7 0.000148218
1142 7 0.000133397
152 7 0.00160076
766 7 0.000859667
605 7 0.000192684
153 7 2.96437e-05
212 7 0.000296437
832 7 0.000296437
912 7 0.000281615
213 7 0.000207506
37 8 0.0129988
593 8 0.00871524
132 8 0.00281615
243 8 0.00164522
572 8 0.00140807
390 8 0.00127468
71 8 0.0011561
502 8 0.00088931
965 8 0.00088931
133 8 0.000844845
861 8 0.000785558
724 8 0.00072627
1007 8 0.000548408
281 8 0.000385368
236 8 0.000222328
110 8 0.000118575
480 8 8.8931e-05
1106 8 7.41092e-05
955 8 1.48218e-05
44 9 0.00518764
665 9 0.00412047
188 9 0.00409083
246 9 0.00361653
90 9 0.0029199
476 9 0.00208988
637 9 0.00179344
389 9 0.00161558
144 9 0.00133397
166 9 0.00130432
69 9 0.00127468
486 9 0.00124503
284 9 0.00072627
79 9 0.000681805
670 9 0.000503943
162 9 0.000326081
999 9 0.000118575
862 9 1.48218e-05
946 9 1.48218e-05
445 10 0.00560266
231 10 0.00320152
23 10 0.00308294
269 10 0.00191202
54 10 0.00166005
22 10 0.00151183
580 10 0.00143772
122 10 0.00124503
537 10 0.00121539
717 10 0.000904132
452 10 0.000770736
686 10 0.000326081
158 10 0.000281615
317 10 0.000222328
1052 10 0.000148218
1143 10 0.000133397
970 10 0.000103753
70 11 0.00538033
15 11 0.00469852
128 11 0.00182309
372 11 0.00133397
81 11 0.00072627
291 11 0.000666983
458 11 0.000503943
507 11 0.000385368
270 11 0.000370546
186 11 0.000251971
447 11 0.000237149
762 11 0.000222328
801 11 2.96437e-05
20 12 0.00638821
275 12 0.00180826
583 12 0.00148218
778 12 0.00146736
985 12 0.000681805
681 12 0.000607696
425 12 0.000592874
